,EFSIZE,EFMJIE
4319,2,1
32353,4,1
61145,2,2
86791,6,2
24981,1,1
28561,3,1
17283,2,1
48026,3,1
11288,4,2
22608,1,1
42690,6,2
23425,2,1
64133,4,1
70427,3,1
3134,2,2
40700,2,2
73337,1,1
50936,3,2
51341,1,1
21967,2,2
41205,3,2
29906,4,2
75491,2,1
73508,1,1
26917,2,1
64221,2,1
52742,4,2
84495,5,2
5377,2,2
16323,2,2
64737,4,2
11315,2,1
2366,2,1
68570,1,1
82255,4,1
42263,3,2
77943,2,2
28115,2,2
11373,1,1
90855,4,2
59452,3,1
72655,2,1
28023,2,2
91690,2,1
10496,5,1
22780,2,2
17314,5,1
52050,1,1
70589,5,2
15608,3,1
23738,1,1
55988,3,2
48417,4,2
19305,1,1
87557,2,1
32270,2,1
25589,4,1
4574,1,1
9717,4,2
75000,1,1
85991,2,1
35773,2,1
81364,2,2
16483,1,1
61765,1,1
76084,2,2
82832,2,2
71866,2,1
62887,2,2
66164,2,1
16132,2,1
80622,3,2
45724,4,2
9837,4,1
66632,3,2
38139,2,2
20852,4,2
23396,4,1
34495,2,2
23437,6,1
70240,1,1
78575,1,1
65311,4,2
26464,4,2
30530,2,1
69362,1,1
21450,2,2
18333,2,1
50058,6,2
21807,1,1
15769,2,1
35112,2,1
60600,4,1
5266,3,1
31411,2,1
56972,4,2
16090,2,2
68203,5,2
8018,2,2
68992,3,2
6009,2,1
24300,2,2
6460,2,1
57709,2,1
68059,4,2
75216,1,1
40256,3,1
38360,1,1
82290,1,1
26646,2,1
71212,4,2
15322,5,2
28330,3,2
43059,2,2
27916,6,2
36812,3,1
34448,1,1
1754,2,2
63660,4,1
39811,4,2
13869,2,1
14672,3,1
86788,1,1
79409,4,1
27661,2,2
48672,1,1
20906,1,1
44232,5,1
28830,4,1
8573,3,1
52253,2,2
70095,2,1
26417,2,2
77586,1,1
11112,2,2
91915,3,2
70960,4,2
46528,2,2
17425,1,1
83029,2,1
67227,3,1
74209,4,2
68519,4,1
44020,3,2
34143,4,1
20134,4,1
79889,4,2
77186,4,2
25609,1,1
56627,3,2
31924,2,1
28396,3,2
69569,2,2
17402,2,1
22705,2,2
59609,2,2
53641,2,1
25727,5,2
37309,1,1
21149,2,2
52750,4,2
84831,5,1
24926,2,1
59357,3,2
33290,7,1
83946,4,2
32103,2,1
47219,1,1
86174,1,1
59088,2,2
22940,3,1
46571,1,1
2121,1,1
75510,1,1
24161,2,2
11403,3,1
86812,4,2
687,3,1
48339,5,2
53572,3,1
7978,3,2
65418,3,2
55337,3,1
32690,2,1
87409,3,2
10272,3,2
87144,6,2
57087,2,1
80183,4,1
2056,4,2
80576,2,2
21755,2,1
9029,2,1
38474,2,2
34111,3,2
34223,4,1
35359,2,1
49136,2,2
91397,2,1
74990,2,2
71737,2,2
50471,2,1
2802,4,2
32291,2,1
46170,3,2
30610,3,1
45301,2,1
15188,3,2
59281,3,2
42972,6,2
19020,2,1
83989,5,1
73052,4,2
58695,2,2
42117,3,2
33356,2,2
35289,4,2
73758,4,2
49759,1,1
68741,2,1
34526,2,1
18445,2,1
86233,2,1
80001,2,1
32587,2,2
34867,1,1
8772,2,2
91491,1,1
16101,2,2
59515,3,2
78824,4,2
61406,4,2
41485,3,2
1267,1,1
85909,1,1
79319,2,1
75071,5,2
52938,5,2
31732,3,2
56592,4,2
24896,3,1
8046,2,1
59866,2,2
29855,5,1
6883,3,2
9434,5,2
17976,1,1
74772,4,2
86056,1,1
49197,2,2
83564,2,2
21570,4,2
63049,3,1
51664,4,2
71448,1,1
72675,4,2
82138,3,1
81450,2,1
40768,2,1
17169,3,2
83304,1,1
21969,1,1
52947,3,2
71622,1,1
12575,5,2
91380,1,1
18615,1,1
1965,7,2
35028,2,1
40128,3,2
27117,6,1
27870,3,2
90078,7,1
35886,5,2
35142,2,2
86317,2,1
65526,2,1
68515,3,2
13290,2,1
29746,2,2
40545,2,2
13111,3,2
41352,3,2
52631,1,1
22461,5,1
66178,2,2
50463,2,1
29357,2,1
59186,5,2
23590,1,1
36423,5,2
28603,3,2
23726,2,2
82957,2,2
8716,2,1
9496,1,1
65939,4,2
1481,2,1
17407,2,1
84936,4,1
68564,3,1
11803,2,1
9175,4,1
75511,4,1
60253,6,1
19922,1,1
31475,2,2
13007,3,2
44958,2,1
71328,5,2
26786,2,2
14783,5,1
70419,5,1
49070,3,1
78525,5,1
13168,3,2
52712,2,2
37535,2,1
77956,4,1
8663,2,1
45999,2,1
88648,4,2
39354,2,2
4288,2,2
5193,4,2
27180,3,2
48418,4,2
66668,4,1
76225,1,1
41367,7,2
55654,2,2
9199,3,2
16151,3,1
33244,2,2
90273,3,1
78859,2,1
9058,2,1
75343,1,1
87088,4,2
19430,3,1
23570,3,2
70483,7,2
29091,2,2
87967,4,2
31670,2,2
81369,1,1
50084,1,1
39931,2,1
78375,5,2
22647,4,1
41161,3,2
30790,2,2
12847,2,2
11219,4,1
48829,4,2
60875,6,1
91408,2,1
18105,7,1
36542,2,2
1644,4,2
75599,2,1
33913,4,1
40354,1,1
80762,3,2
81580,4,2
84679,4,1
3626,2,2
79763,2,1
49240,2,2
26281,5,2
61547,4,2
24733,3,1
87990,2,2
32996,3,2
21418,3,1
13145,4,2
20558,4,2
28040,2,1
79052,2,1
6002,3,2
90485,3,1
35588,1,1
18041,3,2
21612,3,2
26035,3,2
50940,2,1
29394,4,2
89264,2,1
70229,3,2
50078,5,1
41762,2,2
90442,4,2
35284,5,1
46425,5,2
63949,1,1
23092,2,1
46298,4,1
24976,2,1
18005,2,1
70607,4,2
47147,2,1
19960,1,1
17767,2,1
67103,3,1
59474,5,1
18875,1,1
85433,3,2
27463,1,1
52906,2,2
49774,1,1
4162,1,1
87214,1,1
21455,3,1
92247,1,1
55733,1,1
49850,1,1
22749,4,2
34276,2,2
62161,1,1
18601,3,2
5624,2,2
15953,4,2
7530,1,1
33297,2,2
56683,2,1
61282,6,2
44224,2,1
4524,3,2
33748,4,2
29767,2,1
54332,2,2
19724,2,2
11595,1,1
51191,2,1
85396,2,1
51890,5,2
27008,1,1
77584,2,2
41934,2,2
86962,3,2
53120,2,2
64511,1,1
15997,3,2
65371,2,1
38323,4,2
68188,5,2
34090,2,1
80297,3,1
29509,3,1
91554,6,2
60310,1,1
8569,2,2
53017,2,1
7221,1,1
21963,1,1
17760,4,2
34614,2,2
28419,6,1
78182,3,1
68348,2,2
12062,2,1
84130,2,1
44003,2,1
7001,5,2
27866,2,1
25899,3,2
53503,5,2
79093,2,1
45833,2,1
4007,1,1
44593,2,1
24703,3,1
83046,2,2
83334,3,1
46001,2,2
84740,1,1
79692,3,1
17167,3,2
64095,4,1
36841,5,1
80877,1,1
47513,2,1
33064,5,1
73289,4,2
12856,6,1
73793,2,2
43825,2,1
79302,4,1
74391,3,1
64349,2,2
24116,3,1
40362,4,1
77901,2,2
36517,2,1
91072,2,2
5810,3,2
87232,1,1
33787,2,1
24363,2,1
64601,1,1
6163,4,2
281,2,2
40730,2,1
76879,2,1
36142,2,2
24555,2,1
7575,4,2
65628,6,1
84861,4,1
79240,6,1
41568,2,1
30958,3,1
66982,1,1
26775,3,1
39792,1,1
7809,3,1
56922,1,1
56115,2,2
86549,1,1
36584,4,1
44510,4,2
35488,4,1
87331,4,1
30115,2,2
66220,1,1
81409,1,1
85320,3,2
35178,2,1
39505,3,1
49209,1,1
87357,1,1
8440,3,2
44789,3,1
71090,5,2
2650,5,1
74801,6,2
63492,3,1
74212,2,2
24798,1,1
58643,2,2
2541,4,2
36349,1,1
81132,2,2
79137,3,2
16429,4,2
80009,4,2
65945,3,2
30206,2,2
32948,4,2
10697,1,1
91476,4,2
91657,4,1
6719,4,2
85500,1,1
44157,3,1
74585,1,1
36200,1,1
69660,1,1
27369,2,2
77270,5,2
182,2,1
11069,2,1
53809,1,1
34718,2,1
9631,1,1
42550,4,1
50458,4,1
57671,6,2
29014,2,1
80179,1,1
10237,2,1
12498,2,1
17055,2,2
91338,2,2
25178,2,2
4817,6,1
7946,2,2
89522,3,2
45649,4,2
57309,6,1
2149,2,2
2920,3,2
46531,4,1
87632,2,1
14449,2,1
17036,3,2
57836,4,2
41861,2,1
39059,4,2
30233,4,1
66398,1,1
25896,3,1
83637,4,2
5942,2,2
58082,1,1
55655,2,1
52292,3,2
47883,2,1
59155,5,2
38017,3,2
57545,2,1
77966,2,1
84871,2,1
17121,5,1
67913,4,2
73463,1,1
29456,2,1
40508,3,1
79113,2,2
20298,1,1
13197,1,1
61798,2,1
14528,4,1
65245,2,1
59883,2,1
69062,4,2
15944,3,2
4028,2,1
77665,2,2
29311,1,1
20850,4,2
59856,2,2
33841,3,2
2059,2,2
71077,2,1
56097,2,2
13800,5,2
44788,3,2
34440,3,2
72494,2,2
47984,6,2
77648,2,2
88545,1,1
45150,3,1
9984,2,1
31410,2,2
72691,1,1
46595,6,1
72014,4,2
25068,4,1
56008,4,1
22790,3,2
63298,4,2
51442,2,1
91819,4,2
63734,1,1
13208,2,2
8242,4,1
35013,2,2
92005,2,2
4775,2,1
9861,1,1
84258,3,1
23069,7,2
64901,4,1
59516,1,1
55357,5,2
11158,2,2
33503,4,1
58888,3,2
12728,3,1
53810,4,2
12391,4,1
88132,1,1
33646,1,1
47235,3,2
57302,2,1
26763,5,1
79448,3,2
62249,3,1
66941,2,2
81147,2,1
66583,1,1
74667,3,1
44531,1,1
51363,4,2
34021,1,1
9394,1,1
11665,5,1
7842,1,1
41924,5,2
18844,2,2
48314,1,1
30325,2,1
5560,3,2
69897,2,2
78905,1,1
73401,1,1
83535,3,1
27013,2,2
87669,2,1
8503,4,2
52880,5,1
90995,5,2
9473,5,2
52943,3,1
84851,3,2
33675,2,2
39401,2,2
42248,5,2
65842,1,1
65334,5,1
39470,1,1
57639,2,2
25582,2,2
73376,3,1
15291,2,2
15161,1,1
90865,4,1
23275,2,2
41654,1,1
70435,4,2
47183,2,2
81028,2,1
20565,1,1
37740,3,2
89790,3,1
40224,2,1
23895,2,1
18725,2,1
86503,2,1
89660,1,1
84685,3,2
21307,3,2
76918,2,1
39400,2,1
38196,2,1
59633,4,1
55584,2,1
81240,2,2
43634,2,2
2630,2,1
71167,3,2
68355,2,2
36046,2,1
77872,3,1
31478,2,1
46430,2,2
7531,1,1
85601,2,1
16936,2,1
35019,2,2
11495,5,1
29616,2,1
51558,6,2
10034,4,1
70554,3,1
30355,2,1
5782,4,2
11713,2,2
32730,2,1
69864,2,1
16363,2,2
54446,2,2
59010,2,1
47036,2,2
6878,1,1
36521,3,1
50928,2,1
85266,4,1
57546,2,2
29609,3,2
47971,2,1
90805,4,2
35902,4,2
10413,2,2
9988,1,1
34927,2,2
85816,4,2
56054,1,1
3474,3,2
54099,5,1
87386,3,1
72729,2,1
16262,2,1
8623,4,1
85744,5,1
56231,2,2
66198,5,2
68052,2,1
18881,3,2
84953,2,2
55437,4,1
6915,2,1
50433,1,1
10775,5,1
90800,2,2
43101,2,2
41724,2,1
51930,1,1
14315,2,1
84548,1,1
11814,3,2
73944,4,1
61520,1,1
54118,4,2
69464,4,2
30485,2,2
87336,2,1
43951,2,1
38696,1,1
61278,6,2
81081,2,2
81277,4,2
71374,3,2
74136,1,1
61864,5,2
38361,2,2
15175,6,2
75291,3,1
47898,1,1
80271,3,2
7698,1,1
5143,5,1
12520,4,1
89218,2,2
63861,2,1
776,6,2
28552,2,1
77185,4,2
80766,2,1
12418,3,1
72168,1,1
80656,2,1
19957,3,2
35531,1,1
53588,1,1
30086,2,1
49996,3,2
62922,7,2
10165,1,1
23341,2,1
68649,6,2
39594,2,2
60754,2,1
395,2,1
7383,3,1
90887,3,2
3083,2,1
13019,3,2
14478,1,1
44396,3,2
74350,2,2
44738,1,1
46193,1,1
74234,4,2
49248,2,2
74693,3,1
30539,3,2
31505,2,1
17248,1,1
30967,3,2
40536,2,1
13563,1,1
29590,2,1
77197,5,1
28349,2,1
72112,2,1
53621,2,1
671,1,1
77220,2,1
24121,5,2
36444,5,2
67396,1,1
59109,1,1
89785,2,2
44382,4,2
68077,2,2
82022,3,2
78209,3,2
76428,3,2
64345,1,1
1680,3,1
19501,4,2
19756,1,1
68368,5,2
59062,3,2
43369,5,2
55974,1,1
81131,2,1
74668,2,1
89457,1,1
77308,3,2
59460,2,1
43019,3,1
70788,4,2
47707,4,2
28116,4,2
49531,3,2
17642,6,1
86535,4,2
47329,4,2
50573,2,2
10111,4,2
48988,3,1
41763,2,1
80629,1,1
6353,5,1
65085,4,2
5011,2,1
45968,2,2
8168,1,1
58998,2,1
8359,4,2
13846,2,2
31520,3,2
35025,2,2
6587,5,2
20275,6,2
8570,1,1
9827,3,2
35486,1,1
86827,3,1
53069,3,2
46239,4,1
92037,2,1
63936,1,1
36956,2,2
19339,4,1
28692,4,1
10844,3,1
27625,3,1
73601,3,2
21797,3,1
5811,3,2
56780,2,2
87895,2,2
8033,2,1
34468,7,2
26560,3,2
81341,3,1
40155,5,2
86753,2,1
7449,5,2
3562,2,1
1268,3,1
53584,1,1
89427,2,2
41419,4,2
15774,2,1
62450,1,1
84440,2,1
45492,4,2
49147,3,2
65740,3,1
18613,2,1
42138,5,2
74066,1,1
21254,1,1
26242,2,1
35010,1,1
45616,3,1
23750,1,1
12523,4,2
53007,2,1
10502,3,1
69916,5,2
41022,2,1
25905,3,2
62723,2,2
22516,2,2
86024,3,1
26747,1,1
28043,1,1
81047,2,1
3113,2,2
89325,1,1
21959,2,2
72496,4,1
77773,4,2
73536,5,2
35556,2,2
31969,1,1
25379,7,2
2562,4,2
30351,3,2
91723,2,1
46900,1,1
26783,1,1
54204,1,1
25653,4,2
11818,3,2
900,2,2
11712,2,1
71797,3,1
40649,4,1
12675,2,1
42988,2,1
87997,2,1
66156,2,1
18221,3,2
21231,3,1
6901,2,1
52638,5,1
57818,5,1
66866,4,1
32197,2,2
53458,3,2
42805,4,1
6655,1,1
1704,2,2
5643,4,1
67415,2,2
23821,5,1
15013,1,1
65137,2,2
86570,4,1
74985,3,2
74085,4,2
61730,3,1
3162,4,1
68021,1,1
36588,4,1
35280,2,2
2267,3,1
53703,3,2
40011,1,1
26449,3,2
53428,2,1
50554,2,1
77394,2,1
58601,1,1
90382,2,1
6637,5,2
30657,2,2
31112,4,1
2404,1,1
73189,5,2
88285,2,1
87065,2,1
58960,2,2
48723,2,2
83010,2,1
37451,1,1
32801,4,1
43698,4,2
35751,2,1
33350,2,1
18807,3,2
15816,2,1
54962,2,1
88722,3,2
75229,1,1
75847,4,1
19828,2,1
7170,2,2
28083,2,1
63377,4,1
19967,2,1
7356,2,1
54092,2,1
16678,1,1
49819,6,2
72946,2,1
29521,1,1
53478,4,2
80081,2,1
43043,4,1
11498,5,2
74882,3,2
21650,1,1
61369,1,1
2299,3,2
60893,1,1
62213,2,1
50999,3,1
54419,3,2
50934,2,2
14204,5,1
11070,2,2
90254,7,2
30923,2,2
12148,2,1
31097,1,1
242,1,1
56708,4,2
64971,2,2
16755,2,1
79341,7,2
14711,3,1
48709,2,2
70771,5,2
56886,2,1
3942,4,1
64272,1,1
24043,5,2
23337,2,2
13320,4,2
18202,4,1
3191,1,1
27470,1,1
5023,2,1
44455,2,1
84822,3,2
14907,2,2
48313,2,2
13924,1,1
74950,2,2
76807,2,2
31893,1,1
66363,4,2
91630,2,1
89265,4,1
58519,2,1
91383,2,1
46389,1,1
86557,2,2
34094,3,1
35383,2,2
42422,1,1
30114,2,1
23267,5,2
91913,1,1
59324,1,1
21124,3,2
77878,1,1
4156,2,2
43745,3,1
77503,4,1
70012,1,1
5751,4,1
5223,1,1
32775,2,2
76025,2,1
509,1,1
6652,1,1
24164,1,1
82267,1,1
13886,1,1
92268,2,1
25611,5,2
19176,4,2
8701,3,2
89714,1,1
8465,3,2
7249,1,1
68501,2,1
52768,3,2
14373,4,2
63748,3,2
51427,4,2
23277,3,1
14550,2,2
91988,1,1
66995,3,1
38428,2,1
61141,3,2
26569,6,2
73617,4,1
1246,3,2
20132,2,1
48331,2,1
9342,3,1
38232,2,2
66772,3,1
32156,2,2
29103,5,2
27647,2,2
10889,2,2
31956,2,2
7864,2,2
78273,1,1
51155,4,2
28990,1,1
20744,4,2
6329,2,2
61082,2,2
19005,2,2
35262,3,2
70921,4,2
47062,2,2
65594,2,1
22833,4,1
8873,2,2
11400,1,1
38880,2,1
39822,2,1
32203,3,2
81329,2,1
6675,1,1
8767,2,1
19026,4,2
50123,2,1
28445,4,2
20804,2,2
33731,2,2
44064,5,1
38177,3,2
89934,4,2
18378,1,1
6034,3,1
33907,2,2
6940,2,1
44856,7,2
4750,2,2
57524,2,1
17130,3,2
71840,2,1
33080,3,2
41046,4,2
32765,1,1
80059,2,1
85945,4,2
18308,2,1
31130,2,2
37407,1,1
40516,3,1
23660,2,2
60546,5,2
85028,2,1
73000,2,1
45800,2,1
4890,1,1
54362,3,1
75598,2,2
83476,2,1
9365,1,1
58090,4,2
72117,1,1
91910,2,2
64473,2,2
80409,2,1
4778,2,1
81103,2,2
71631,3,2
25364,1,1
66971,3,1
70269,4,2
23830,1,1
21309,3,1
80726,4,1
77868,3,2
73903,2,1
3793,2,2
4225,1,1
46539,1,1
83090,3,2
41075,1,1
11291,2,2
60866,5,1
24517,2,1
21087,5,2
50525,2,1
44581,2,1
91047,5,1
29862,3,2
32428,3,2
34184,1,1
32821,2,1
23089,4,2
9294,2,2
56447,2,1
15766,2,2
50855,5,1
53949,2,1
46342,3,1
64663,2,1
47168,4,2
6641,2,2
36193,2,1
6402,2,2
57646,1,1
17389,1,1
85522,4,2
92105,1,1
75234,2,2
1017,5,1
29549,2,2
57201,2,2
12308,2,1
14169,2,1
77179,4,2
63986,1,1
20691,2,2
50566,2,1
64719,4,2
67158,1,1
39611,2,2
63853,4,1
80659,4,2
15934,2,2
9295,1,1
82732,2,1
15614,1,1
17,2,2
59011,2,2
37515,5,2
24359,2,1
75805,4,2
13742,5,2
39918,3,1
69550,4,2
66767,1,1
66903,1,1
58240,3,1
89675,1,1
74197,4,1
12272,1,1
53831,1,1
66839,1,1
75369,2,1
47171,2,1
20577,2,2
82596,6,1
4841,3,2
3936,4,1
39269,4,1
35833,2,1
45126,2,1
19201,2,2
87870,6,1
1465,1,1
10315,4,2
60824,4,2
28846,2,2
89008,1,1
33533,3,1
67252,1,1
39943,6,2
20666,3,2
37430,2,1
22411,2,1
56546,2,1
58095,2,1
75706,1,1
83593,1,1
79602,4,2
11798,1,1
35216,1,1
83161,3,1
77596,2,2
82588,3,2
88527,1,1
75768,2,2
10066,3,1
30455,2,1
51421,4,1
88511,2,1
23965,2,1
42295,3,2
88154,2,2
86187,2,2
41853,1,1
16961,3,1
48567,4,2
24935,2,2
74759,3,1
84716,1,1
51279,3,1
32174,2,1
80558,2,1
57158,4,2
31311,4,2
45182,7,2
72785,5,1
2345,2,1
52112,3,2
48619,4,2
61378,2,2
33953,1,1
7479,3,1
53463,3,1
27706,4,1
65102,1,1
23238,4,1
40717,2,1
47918,2,1
3533,2,2
17104,4,2
44103,3,2
34905,3,2
79582,1,1
28071,2,1
34827,1,1
37842,1,1
46392,3,2
9003,2,2
21934,3,1
5572,2,2
80153,2,2
36395,3,1
14194,2,2
