,EFINVA,EFSIZE,EFMJIE
0,375,4,2
1,375,4,2
2,375,4,2
3,375,4,1
4,850,2,1
5,850,2,2
6,1400,1,1
7,0,4,1
8,0,4,2
11,0,2,1
12,0,2,2
13,200,2,2
14,200,2,1
15,0,2,1
16,0,2,2
17,0,2,2
18,0,2,1
19,0,2,1
20,0,2,2
21,0,2,1
22,0,2,2
23,700,4,1
24,700,4,2
27,1450,1,1
28,0,1,1
29,0,1,1
30,0,1,1
31,300,3,2
32,300,3,1
33,300,3,2
34,0,3,1
35,0,3,2
36,0,3,2
37,0,1,1
38,75,2,2
39,75,2,1
40,2900,2,1
41,2900,2,2
42,0,1,1
43,0,1,1
44,0,1,1
45,0,2,1
46,0,2,2
47,0,2,2
48,0,2,1
49,0,3,1
50,0,3,2
52,29500,2,1
53,29500,2,2
54,50,1,1
55,0,3,2
56,0,3,2
57,0,3,1
58,0,1,1
59,0,3,2
60,0,3,1
62,0,3,1
63,0,3,2
64,0,3,2
65,0,2,1
66,0,2,2
67,7250,1,1
68,0,2,2
69,0,2,1
70,14800,3,1
71,14800,3,2
72,14800,3,2
73,0,2,2
74,0,2,1
75,-4200,3,2
76,-4200,3,1
77,-4200,3,2
78,0,1,1
79,100,4,1
80,100,4,2
82,100,4,2
83,0,1,1
84,0,1,1
85,0,2,1
86,0,2,2
87,0,4,2
88,0,4,1
91,25,2,2
92,25,2,1
93,50,1,1
94,0,2,2
95,0,2,1
96,0,3,1
97,0,3,2
99,0,1,1
100,50,1,1
101,1350,2,1
102,1350,2,2
103,0,3,1
104,0,3,2
105,0,3,2
106,0,4,2
107,0,4,1
108,0,4,2
109,0,4,2
110,75,3,1
111,75,3,2
113,1350,3,1
114,1350,3,2
115,1350,3,2
116,0,2,1
117,0,2,2
118,0,1,1
119,3300,1,1
120,0,4,2
121,0,4,1
122,0,4,2
123,0,4,2
124,0,4,2
125,0,4,2
126,0,4,1
128,15000,4,2
129,15000,4,1
132,0,2,1
133,0,2,2
134,725,2,2
135,725,2,1
136,0,2,2
137,0,2,1
138,0,2,2
139,0,2,1
140,0,1,1
141,0,2,1
142,0,2,2
143,0,1,1
144,0,5,1
145,0,5,2
146,0,5,2
148,0,5,2
149,0,1,1
150,0,5,2
151,0,5,2
152,0,5,2
154,0,5,1
155,3750,2,1
156,3750,2,2
157,175,1,1
158,0,1,1
159,0,1,1
160,0,3,1
161,0,3,2
163,167500,2,2
164,167500,2,1
165,275,1,1
166,0,1,1
167,34725,2,2
168,34725,2,1
169,0,1,1
170,0,1,1
171,0,1,1
172,3000,1,1
173,50,6,2
174,50,6,1
179,0,1,1
180,625,1,1
181,0,2,2
182,0,2,1
183,14500,2,1
184,14500,2,2
185,0,5,1
186,0,5,2
190,75600,6,2
191,75600,6,2
192,75600,6,2
193,75600,6,1
194,75600,6,2
195,75600,6,2
196,75,3,1
197,75,3,2
198,75,3,2
199,0,1,1
200,375,5,1
201,375,5,2
205,0,1,1
206,0,4,1
207,0,4,2
208,0,4,2
209,0,4,2
210,3100,1,1
211,0,3,2
212,0,3,1
213,0,3,2
214,0,1,1
215,75,3,1
216,75,3,2
217,75,3,2
218,25,2,1
219,25,2,2
220,0,5,1
221,0,5,2
225,0,4,1
229,47500,4,1
230,47500,4,2
233,0,1,1
234,375,3,2
235,375,3,2
236,375,3,1
237,0,1,1
238,0,4,1
239,0,4,2
242,0,1,1
243,0,2,1
244,0,2,2
245,0,1,1
246,0,1,1
247,5500,2,1
248,5500,2,2
249,0,3,1
250,0,3,2
252,0,2,2
253,0,2,1
254,0,6,1
255,0,6,2
260,150000,2,2
261,150000,2,1
262,0,2,1
263,0,2,2
264,25,2,1
265,25,2,2
266,0,2,2
267,0,2,1
268,425,3,2
269,425,3,1
270,425,3,2
271,0,6,2
272,0,6,1
277,6050,2,1
278,6050,2,2
279,9250,2,1
280,9250,2,2
281,9350,2,2
282,9350,2,1
283,0,1,1
284,0,1,1
285,0,4,1
286,0,4,2
289,225,5,1
290,225,5,2
291,225,5,2
292,225,5,2
293,225,5,2
294,0,2,1
295,0,2,2
296,450,3,2
297,450,3,1
298,450,3,2
299,200,2,2
300,200,2,1
301,8000,1,1
302,0,1,1
303,0,2,1
304,0,2,2
305,0,3,2
306,0,3,1
307,0,3,2
308,0,1,1
309,0,1,1
310,50,2,2
311,50,2,1
312,0,1,1
313,0,4,2
314,0,4,1
317,50,2,1
318,50,2,2
319,0,4,1
320,0,4,2
323,100,1,1
324,0,3,1
327,350,1,1
328,0,5,1
329,0,5,2
333,1575,3,1
334,1575,3,2
335,1575,3,2
336,200,2,2
337,200,2,1
338,0,1,1
339,0,3,1
342,-4300,2,1
343,-4300,2,2
344,1750,1,1
345,0,1,1
346,500,3,2
347,500,3,1
348,500,3,2
349,0,1,1
350,475,2,2
351,475,2,1
352,0,3,1
353,0,3,2
355,0,1,1
356,0,1,1
357,0,1,1
358,75,1,1
359,0,1,1
360,175,2,1
361,175,2,2
362,0,4,2
363,0,4,1
366,30000,2,1
367,30000,2,2
368,0,2,2
369,0,2,1
370,0,4,1
371,0,4,2
374,0,5,2
375,0,5,1
376,0,5,2
379,0,1,1
380,6000,1,1
381,0,1,1
382,50,3,2
383,50,3,1
385,25,5,2
386,25,5,1
390,0,1,1
391,0,2,2
392,0,2,1
393,83000,2,1
394,83000,2,2
395,4350,2,1
396,4350,2,2
397,0,3,2
398,0,3,1
400,0,2,1
401,0,2,2
402,17200,3,2
403,17200,3,1
404,17200,3,2
405,0,4,1
406,0,4,2
409,15500,3,1
412,0,2,1
413,0,2,2
414,50,1,1
415,0,3,1
416,0,3,2
418,300,2,1
419,300,2,2
420,10300,2,2
421,10300,2,1
422,1000,4,1
423,1000,4,2
424,1000,4,2
426,0,1,1
427,175,1,1
428,475,3,2
429,475,3,2
430,475,3,1
431,0,7,1
432,0,7,2
438,1150,1,1
439,0,2,2
440,0,2,1
441,75,1,1
