,EFINVA
4319,0
32353,0
61145,0
86791,0
24981,0
28561,2150
17283,3475
48026,0
11288,2400
22608,0
42690,4900
23425,10500
64133,0
70427,350
3134,175
40700,150
73337,-2500
50936,0
51341,50
21967,3300
41205,100
29906,25
75491,0
73508,0
26917,29250
64221,0
52742,50
84495,0
5377,0
16323,0
64737,0
11315,0
2366,75
68570,0
82255,1775
42263,0
77943,0
28115,0
11373,25
90855,0
59452,1900
72655,7975
28023,0
91690,0
10496,225000
22780,475
17314,78000
52050,1150
70589,100
15608,0
23738,1150
55988,0
48417,0
19305,400000
87557,0
32270,0
25589,26000
4574,1450
9717,150
75000,0
85991,175
35773,250
81364,21600
16483,8000
61765,0
76084,0
82832,950
71866,2175
62887,122500
66164,0
16132,0
80622,1550
45724,300
9837,0
66632,100
38139,0
20852,137500
23396,0
34495,1400
23437,13500
70240,200
78575,0
65311,0
26464,875
30530,25
69362,0
21450,0
18333,250
50058,0
21807,250
15769,50
35112,1750
60600,0
5266,0
31411,875
56972,0
16090,400
68203,1375
8018,0
68992,-1800
6009,100
24300,125
6460,0
57709,0
68059,0
75216,25
40256,11050
38360,75
82290,0
26646,46500
71212,0
15322,0
28330,0
43059,1550
27916,0
36812,5250
34448,0
1754,0
63660,0
39811,0
13869,-1400
14672,0
86788,0
79409,0
27661,14325
48672,0
20906,3500
44232,225
28830,0
8573,0
52253,0
70095,75
26417,23000
77586,50
11112,0
91915,2600
70960,21500
46528,0
17425,0
83029,34100
67227,0
74209,25
68519,325
44020,0
34143,0
20134,0
79889,0
77186,0
25609,300
56627,0
31924,0
28396,4000
69569,50
17402,1275
22705,2950
59609,0
53641,0
25727,0
37309,0
21149,275
52750,0
84831,0
24926,1050
59357,0
33290,0
83946,0
32103,17000
47219,0
86174,650
59088,1750
22940,0
46571,50
2121,0
75510,350
24161,16675
11403,0
86812,10700
687,250
48339,350
53572,1900
7978,0
65418,8250
55337,0
32690,0
87409,0
10272,0
87144,45000
57087,0
80183,0
2056,19750
80576,175
21755,3700
9029,0
38474,0
34111,0
34223,350
35359,100
49136,0
91397,0
74990,1350
71737,950
50471,0
2802,350
32291,0
46170,1200
30610,0
45301,0
15188,1150
59281,3825
42972,425
19020,0
83989,0
73052,0
58695,0
42117,0
33356,0
35289,0
73758,25
49759,0
68741,500
34526,0
18445,0
86233,100
80001,0
32587,0
34867,0
8772,6750
91491,75
16101,0
59515,125
78824,0
61406,0
41485,0
1267,50
85909,0
79319,375
75071,19250
52938,575
31732,625
56592,0
24896,0
8046,275
59866,4650
29855,0
6883,0
9434,0
17976,0
74772,700
86056,0
49197,525
83564,375
21570,35000
63049,0
51664,0
71448,0
72675,0
82138,-3300
81450,0
40768,0
17169,0
83304,0
21969,275
52947,0
71622,72500
12575,0
91380,31000
18615,600
1965,275
35028,100
40128,0
27117,225
27870,25
90078,6400
35886,0
35142,0
86317,250
65526,45000
68515,0
13290,725
29746,780000
40545,0
13111,0
41352,0
52631,0
22461,0
66178,3200
50463,0
29357,3800
59186,0
23590,0
36423,625
28603,0
23726,2925
82957,0
8716,0
9496,4300
65939,-2000
1481,140000
17407,0
84936,0
68564,0
11803,0
9175,0
75511,50
60253,350
19922,0
31475,82000
13007,25
44958,39000
71328,0
26786,0
14783,0
70419,0
49070,-3900
78525,1800
13168,175
52712,77500
37535,0
77956,72550
8663,850
45999,25
88648,850
39354,0
4288,25
5193,0
27180,0
48418,0
66668,0
76225,850
41367,25
55654,1850
9199,375
16151,0
33244,75
90273,25
78859,-200
9058,475
75343,0
87088,400
19430,0
23570,0
70483,0
29091,2500
87967,0
31670,950
81369,0
50084,0
39931,0
78375,0
22647,0
41161,0
30790,1300
12847,225
11219,0
48829,0
60875,26000
91408,75
18105,6700
36542,0
1644,0
75599,0
33913,950
40354,0
80762,0
81580,425
84679,3100
3626,275
79763,0
49240,0
26281,0
61547,300
24733,0
87990,925
32996,275
21418,0
13145,25
20558,5250
28040,0
79052,6600
6002,2150
90485,-725
35588,0
18041,0
21612,1050
26035,0
50940,7700
29394,1100
89264,-100
70229,0
50078,350
41762,2950
90442,0
35284,875
46425,26000
63949,0
23092,11525
46298,0
24976,0
18005,625
70607,0
47147,0
19960,0
17767,20000
67103,0
59474,2650
18875,0
85433,0
27463,0
52906,0
49774,3600
4162,0
87214,0
21455,0
92247,0
55733,0
49850,2500
22749,1700
34276,0
62161,0
18601,0
5624,2050
15953,0
7530,0
33297,0
56683,50
61282,8250
44224,0
4524,250
33748,0
29767,0
54332,650
19724,200
11595,0
51191,50
85396,20000
51890,225
27008,0
77584,27500
41934,0
86962,700
53120,7750
64511,0
15997,0
65371,0
38323,50
68188,0
34090,0
80297,0
29509,0
91554,0
60310,1200
8569,4650
53017,1375
7221,1450
21963,0
17760,55750
34614,0
28419,0
78182,27050
68348,50
12062,0
84130,0
44003,0
7001,0
27866,0
25899,9550
53503,25
79093,25
45833,2900
4007,0
